id,clean_customer,clean_agent,verified_intent,expected_escalation,escalation_reason
22,"Hey and , could we consider implementing a stateful shuffle? Need Help? I'm looking for a new Software Dev role in NYC","2: For more information about our available roles, check out /QI",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
23,"clicking ""share"" on any song crashes with no error msg. Android 8.0.0, nexus 6p, Spotify 8.4.22.857. Have reinstalled once.",Hi there! We're currently looking into this. Hopefully we'll have it fixed soon /PL,PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
24,"No error, just when I press the shuffle play button to the Imagine Dragons album it does not want to play. The device is my iPhone 5SE","Can you let us know which iOS and Spotify versions you're currently using? Also, does restarting help? /NQ",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
25,Here is the Screenshot. I pressed shuffle. It happens in all his songs.,"Got it. Is this issue happening on WiFi, 3G/4G, or both? We'd also suggest trying different connections /MT",PLAYBACK_CRASH,AUTO_HANDLE,Standard client-side troubleshooting procedure available
26,don't think about premium subs dropping off re: lack of #AppleWatch offline playback #SoSad,Hey Steven! Check out the official idea and add your vote to let our devs know it's something you'd like to see: /SY,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
27,"Not all the songs in my playlists are downloading for offline use on my mac. Reinstalled, no change. Any ideas?","Hey there! What device, operating system, and Spotify version are you using? We'll see what we can suggest /MA",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
28,"Galaxy note 5, Android, and idk the spotify version. It's the latest app, as I tried uninstalling and redownloading",Thanks for the info. Can you try restarting your device? Does that help? /CP,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
29,"hey,hoping you can help - I have several thousand songs offline but for some reason random artist albums become unsynced 🤷🏻‍♂️","Hi Lee, help's here! Can you DM us your account's email address? We'll take a look backstage /DV",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
30,if you cancel your subscription can you still listen to your downloaded playlists?,"Hey there! While your playlists will remain safely with us, offline tracks are a Premium feature. Hope that helps /NQ",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
31,"would love 2 see ""only use data on wifi"" setting so I don't hav 2 change to offline mode every time I leave the house/office.",Hey! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
32,my entire playlist un-downloads itself every few days on android app. I have to use data to listen. Any ideas?,Hey Rachel! Check out the steps under “Downloads unexpectedly removed” at They should help with this /BH,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
33,Well the only time I use offline music is when I'm not in wifi and the only time I'm not in wifi is in my car so I can't really test it out,"Hmm, that's odd. Just to check, do your playlists remain downloaded? /MT",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
34,can you plz help to fix it so next time I could hear it offline. Tq. (2),"Hey, sorry to hear that! Can you fire over your account's username or email address via DM? We'll take a look under the hood /JM",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
35,"My music keeps undownloading, what is happening??? Please help","1: Hey Chelsea, we're sorry to hear that. We'd suggest checking out the steps under “Downloads unexpectedly removed” at...",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
36,can’t log into Spotify. I used Facebook credentials to set up my account. Just re downloaded the app on new phone and it won’t log in.,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
37,"I did so, and moved storage onto device so not an sd card problem. Problem still happening. Is this a glitch with the app?",That's strange. Can you DM us your account's email address? We'll take a look under the hood /QI,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
38,I deleted the app and downloaded it back #allgood! Thanks,We're glad to hear everything's working now. Give us a shout if it starts misbehaving again; we're always here to help /RC,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
39,I had to re-download all my offline playlists upon switching iphones and noticed the downloads seems to work when you’re in the app and not in the background when the app is minimised.,"That's odd. Could you let us know which iPhone you're using, your iOS version, and the Spotify version you're running? We'll see what we can suggest /KT",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
40,I downloaded Spotify for Mac but it’s so slow. Are there updates or should I continue to use the web since it’s quicker?,Hey Stacey! Can you let us know the OS X and Spotify versions you're using? We'll see what we can suggest /FR,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
41,"Hi none of the album art is loading for me, at all. I already tried rebooting, and redownloading the app. it's just the gray disk photo pls help","Hi, help's here! Can you let us know the exact Spotify version you're rocking? We'll see what we can suggest /PL",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
42,"No luck unfortunately, even tried downloading the playlist","Hmm, that's odd! Best thing to try here is a reinstall. Just follow the steps at Let us know how it goes /MX",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
43,"No it didn't. Same error. Won't let me sign in as set to offline mode, but can't take it out of offline mode because won't let me sign in.",Got it. Are you getting the same error message when you use a different device to log in to your account? /NY,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
44,"Or better said: How can I listen the songs offline, it doesn't work if I put the connection offline and they are in my library.","Hey T! Offline songs need to be downloaded either by album, artist page, or by playlist. Let us know if you have any other questions /TF",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
45,"Really getting fed up with this app that can’t maintain downloaded files, has been a problem for over a year for me","1: Hey Chase, sorry to hear that! Check out the steps under “Downloads unexpectedly removed”...",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
46,Downloaded for offline use.,Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this /AR,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
47,"Probably about 2/3 days! And no restarting it hasn’t helped really, i was thinking about deleting and downloading it again! would that help?",Thanks for letting us know! Can you DM us your account's email address? We'll take a look backstage /CB,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
48,why does the app always undownload my music?,"Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help /AR",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
49,Like I have been having to sort this with pretty much every streaming and download service on the Web now. You're my last port of call. Basically if the track is Drum & bass by Virtue - that's me. Not the girl group. Lol.,2: your artist page gets fixed up. Let us know if you have other questions /JU,OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
50,Hi if I upgrade to Spotify premium can I download tracks that then can be exported for use on other apps and devices or copied onto cds and other external storage?? Cheers,"2: on up to 3 different devices. More info here: Hope this clears things up. Anything else, let us know /NY",OFFLINE_SYNC,AUTO_HANDLE,Standard client-side troubleshooting procedure available
51,"Hi , just found out that I was removed from the family plan, even though I gave you the same address like we all use. Could you please check what's wrong with my account? DM me please for any additional information regarding my account. Thanks!","Hi, we've just replied to your DM. We'll carry on chatting there /SY",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
52,"No I would rather just use a username, if I make a new account is it easy to swap my subscription over ?",Got it! Can you DM us your account's username and email address? We'll see what we can suggest /TY,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
53,my Spotify still says free subscription but I see that money came out of my account yesterday. What's going on??,Hi Patricia! We've just sent you a bit more info over DM. We'll carry on helping out there /TC,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
54,updating an expired card for a family plan. On the latest version of Chrome. OSX,Got it! Could you send us a DM with your account's email address? We'll take a look backstage /CH,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
55,Help me. How do I extend my student subscription? Sends me to a new sub link.,"1: Hi, help's here! You should've received an email from us 7 days before your student discount expires with the option to reapply for...",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
56,hi Spotify. I need my student status transferring. Please can you help? I have DM'd. Thanks - Chris,Hey! We just replied to your DM with more info. We'll carry on helping out backstage /CB,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
57,"If I just upgraded to the $99 for the year deal but now want to switch to a famil account, will I get overcharged? How will that work?","You're welcome! If you need anything else, just shout, and we'll come running 🏃 /WP",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
58,"I'm going to upgrade to family plan. I just renewed my monthly subscription, will I be billed in full again?","Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
59,Or does the subscription not begin until January?,Hey! The cavalry's here. Can you DM us your account's email address? We'll take a look backstage /CP,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
60,i have paid for premium subscription but it’s still written that I’m still using a premium user.,Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /PB,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
61,im having trouble setting up my student account,Hey! We've just replied to your DM. We'll carry on helping there /JX,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
62,"I started a premium subscription with a 60-day free trial, which should go until 1/9/18. Switched to a family plan and now it says I'll be charged on 12/19/17? Did I lose my free trial by activating family plan?","Hey Nicholas, we're here to help! Can you send us your account's username or email address via DM? We'll take a look backstage /GN",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
63,If I have a sub that ends in a month but i join my households fam plan do i still get charged for my last month of my previous subscription???,Hi there! Can you DM us your account's username and email address? We'll check it out and see what we can suggest /WW,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
64,"I can't update my family subscription again, :(","Hey, we'd love to help out! Can you tell us what's happening exactly? /LO",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
65,"Hi! I'm trying to upgrade my account (I was previously in a family plan, but not anymore) and it's not accepting my CC?","Hey Maddie! We'll help out, don't worry. Can you send us your account's username or email address via DM? We'll take a look backstage /GN",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
66,I'm being charged full amount and I have student payment set up. Help,"Hey Katie, we've come to the rescue! Could you DM us your account's username or email address? We'll check backstage /RE",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
67,tried to cancel this subscription for months. $9.99 mth Order ID: __credit_card__ ♫Date: 2016-03-23 ♫Username: colleen.george1,"Hey Doug! Don't worry, we'll help out. We'd like to share more info with you. Can you send us a DM instead? /DQ",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
68,Getting really tired of trying to get Spotify family plan codes to work for my family members. About to just cancel my plan altogether and find a better option...,Hey Craig! That doesn't sound good. Can you DM us your account's email address? We'll take a look under the hood /QI,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
69,my student discount has been taken off my account and I have been charged £14.99 this month. Please help I’m still a student 😩,"Hey Claire, help's here! Can you DM us your account's email address? We'll check backstage /MO",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
70,I want to get the student promo 4 Spotify premium & Hulu but I have my account with my fb profile that doesn't use my,"2: university, you can apply for the Hulu bundle here: /CP",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
71,"I'm trying to update my payment information, but after putting in my new card info it takes me to the student verification page....I just want to update my card, that's all. I'm not a student.","Hey Jake! Help's here. Can you head to in an incognito window, and head to Subscription > Update? Let us know if it makes any difference /PB",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
72,"You guys charged me twice for Premium, why?","Hi Kevin, help's here! Can you DM us your account's email address? We'll take a look under the hood and see what we can suggest /NY",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
73,how do I make my account a student one?,"Hey, help's here. Could you fire over your account's email address or username via DM? We'll take a look backstage /AY",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
74,I got charged twice and can’t talk to a person about it. Please help me.,"Hey Matilyn! We're afraid don't offer telephone support, but we can help via Twitter. Can you DM us your account's email address? /RA",SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
75,"I bought a 6 month voucher in June as gift I’d like to renew/ extend the gift subscription- can’t work out how, pls help!!",Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,SUBSCRIPTION_BILLING,ESCALATE,"Requires private user data, backend account modification, or lacks context"
76,"Have users logged into my account, playing music from different devices in spanish, user name same as twitter handle. Can't reset pw (500 error), please help.","Hey John, sorry to hear this happened. We can't seem to pull up an account that matches your Twitter handle. Can you DM us your account's email address instead? /RR",ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
77,HELP! I no longer have the email I signed up with & I have been being charged double every month unknowingly!!!!,"Hey Shelby, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MQ",ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
78,"hey there, I️ have an account with a user name pedrounsweater but don’t know what email, or password I️ used to create it?",Hey Pedro! Could you DM us any email addresses you could've signed up with? We'll take a look backstage /JX,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
79,"Well, it's not just one router to reset, it's on every wifi network...",Could you DM us your username or email address so we can take a closer look? /JU,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
80,Hi! Was just billed for a subscription I haven’t ordered. Wondering why you don’t send out emails when there’s made a change?,Hey Kristine! Help's here. Could you DM us your account's username or email address? We'll take a look backstage /TM,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
81,. Do we need to be signed up for Spotify promotional emails to get the Year in Review like last year? Or did that change? /BP,Hi Bethany! We currently don't have any info to share about this. Give us a shout if you have any other questions /DV,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
82,As of last night I can't login to Spotify but have not changed anything locally. What's going on? Thanks,Hey! That doesn't sound cool. Can you DM us your account's email address or username? We'll take a look backstage /KM,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
83,someone's signed up for Spotify with my email address and their credit card. I'm getting their statements. Need this fixed.,Hi Devyn! Help's here. Can you DM us your email address? We'll take a look backstage /AU,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
84,becky ann and my email is __email__,"Hey! For your security, we'd recommend deleting your post as it contains your email address. You can DM it to us instead 🙂 /KL",ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
85,"Yeah I'm trying to get the discount. When I press the ""get premium"" button and login then it tells me I'm not eligible for the discount. But I'm a student in Ontario.",Alright. Can you DM us your account's email address? We'll take a look backstage /LM,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
86,how to 'switch' my profile from Facebook login to standalone login?,Hey there! Can you fire over your account's username or email address via DM? We'll take a look backstage /PL,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
87,I've tried logging into my account through Facebook and through my regular info and it won't work. Also does not let my music play on PS4,Can you DM us your account's email address and a screenshot of the error you're getting? We'll take a look under the hood /QI,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
88,i cant login or even make a new account to listen to my playlists,"Hi there! Can you DM us your account's email address, along with the device, OS, and Spotify version you're running? /LM",ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
89,account was hacked and resolved but all my playlists are gone.,Hey there! Can you DM us your account's email address and username? We'll take a look backstage /KL,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
90,"I can't log in to my account and i'm a premium member. when I try to go to the password reset page, I get error: ""The CSRF token is invalid. Please try to resubmit the form."" - this has been going on for 3 days. HELP!!","Hi Steven, help's arrived! Could you DM us your email address and username? We'll take a look backstage /JQ",ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
91,"hi,, i decativated facebook. please can i change my login account","Hi James, help's here! Can you confirm your account's email address via DM? We'll see what we can do /GT",ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
92,Remove Facebook account from __email__,Hi! We've just replied to your DM. Let's continue chatting there /JL,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
93,HELP! My login is as kinds of messed up.,Hey there! We'll help out. Can you DM us your account's email address or username? We'll take a look under the hood /AN,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
94,"Account email recently changed without my doing, cannot access my Premium account, Havent received support confirmation ticket",Hey there! Could you DM us your account's username and email address? We'll take a look backstage /DF,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
95,"Trying to recover password, but getting ""CSRF token is invalid"" - help? Previously signed up through FB but want to avoid using moving forward","Hey Jonathan! Can you DM us your account's username and email address, along with a screenshot of the error message that you're getting? We'll take a look backstage /SY",ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
96,"Your websites ""contact us"" link will take you to a login page. Just want Spotify to consistently improve #cheapsales",Hi Simon. Thanks for bringing this up. We'll pass this to the relevant folks to be sorted out /JU,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
97,Please assist. I can''t log in on my spotify account using facebook.,Hi! We've sent a DM your way. We'll carry on helping out there /AY,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
98,"My Spotify has been accessed by someone. Music randomly stops playing or starts playing music I have not heard off. There is also music in my ""recently played"" that I haven't. I've changed my password 3 times and clicked ""Sign Out Everywhere"". Still not helped.","Hey, we’re sorry to hear that! We'd suggest checking out for what to do next /MA",ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
99,"I can't change my password because there is a ""CSRF TOKEN IS INVALID"" :( this makes me sad",Hi there! Can you DM us your account's email address or username? We'll take a look backstage /GT,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
100,"All good , I managed to get in finally but the issue is I can not sign in with my Facebook app account, I had to manually type it in.",That's great! Just give us a shout if you need anything else. We're... /JU,ACCOUNT_LOGIN,ESCALATE,"Requires private user data, backend account modification, or lacks context"
101,"When I went to use Spotify it was if I had never used it before, I clicked on a recently played artist and it went straight to the artist's page, not my saved songs, I closed and reopened it, it then showed my saved songs but nothing was downloaded, I didn't check my playlists",Got it. We have some info to share with you in private. Can we take this to DM? /MT,CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
102,any idea on why my music is *always* uploaded to Spotify under the wrong artist name? It takes weeks to fix - this isn’t good.,"Hey! You can contact our Artist team about this here: If you've reached out, DM us your email address & we'll chase it up /K",CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
103,"Shuffling one album, plays one sang, ad arrives, then this message occurs and it changes to a complete new mix","Got it. Does logging out of Spotify, restarting your device, and logging back in help at all? /NY",CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
104,"Windows client audio starts stuttering/slowing down after about 1 minute, doesn't matter which album. audio playback in web player and other local media players is fine. any ideas?",Hey! Help's here. Can you let us know the make and model of your device and the version of your Spotify app? We'll see what we can suggest /RA,CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
105,I don't have any local files of these artists !,Okay. Can you DM us your account's email address? We'll things check backstage /NY,CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
106,How long does it normally take to get approved as a Verified Artist? Thanks in advance!,"Hey! If you've already gotten in touch with our friends at Artist Services, you should hear back from them within the next 4 to 6 weeks /AR",CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
107,"Hello :) I have contacted you regarding song under wrong artist for band ""Payday"", which has ended up under ""PayDay"". We hope this can get resolved very very soon :( Please help!",Hey! We've just replied to your DM. Let's carry on chatting out there /MU,CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
108,Any thoughts to categorize new releases instead of bunching them all together? I may like to listen to some artists but would like to know the genre. Thanks.,2: you'd like to see. You can also share your idea on the Community at for others to vote on /LM,CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
109,is it common for songs to be removed by you from my playlists? Looks like it’s been removed from your catalogue too,"Hey there! Sometimes content is temporarily removed due to licensing, but we hope to have it back soon: /GK",CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
110,"I woke entire library is missing and i have no idea why. All my playlists exists, but i have no songs in my song section. Help","Hey, help's here. Do you mean your downloaded songs got desynced or everything was completed deleted? /AY",CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
111,"Tried playing from different albums and nothing worked. Not downloaded, just reg streaming like I always do....",Alright! Could you DM us your Spotify account's email address? We'll take a look under the hood /BH,CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
112,"... What happened?, this last year, this CD exists, now Empty CD Here’s an album for you… Pa'l Mundo",Hey Adrian! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /CO,CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
113,Yeah still no change I would say there's a good number of songs that oddly aren't being featured and artists that aren't being played even though I've listened to many of their songs/albums Kanye West etc.,Hey! Thanks for keeping us posted. Can you DM us your account's email address or username? We'll take a look backstage /PB,CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
114,You are missing the point here. I have synced my local files over 5 years from different computers. There is no 1 computer I can go to and sync back the songs. I have lost really important music because of this.,"2: play them again on your iPhone. Not to worry, we'll pass on your feedback to the right team. Drop us a tweet if you need us again /MT",CATALOG_CONTENT,AUTO_HANDLE,Standard client-side troubleshooting procedure available
