id,customer_message,true_intent,pred_intent,intent_confidence,true_escalation,pred_escalation,escalation_reason,draft_reply,top_match_sim,top_match_text,judge_correctness,judge_groundedness,judge_voice,judge_avg,judge_verdict
11,My android app crashes every time I try to share a song. I've cleared the data and re-logged in but it still happens.,PLAYBACK_CRASH,PLAYBACK_CRASH,0.9221,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 92.2% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.5265,"The app crashes everytime I try to share a song, then it restarts playing the previous song.",5,5,5,5.0,PASS
12,your mac app keeps crashing my mac! HELP!!!!,PLAYBACK_CRASH,PLAYBACK_CRASH,0.946,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 94.6% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.7697,my spotify on my mac keeps crashing please help,5,5,5,5.0,PASS
13,and i have to restart the whole app then i press shuffle play it said you need premium to play the music,PLAYBACK_CRASH,PLAYBACK_CRASH,0.9788,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 97.9% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.5695,No message comes up except when I try to press shuffle play,5,5,5,5.0,PASS
14,"I will try that, I think it's got 'stuck' on an audio advert but the ad isn't playing & main play button greyed out so can't even play ad!",PLAYBACK_CRASH,PLAYBACK_CRASH,0.9979,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 99.8% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3296,They don’t work. Next/prev buttons are greyed out and the play button should be a pause button and doesn’t do anything,5,4,5,4.67,PASS
15,Fix the comments not appearing on the lossless audio idea. Tried it on multiple browsers. The last few pages on comments don't appear..,PLAYBACK_CRASH,PLAYBACK_CRASH,0.4745,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 47.5% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.1965,Has multiroom audio come to yet?,5,2,5,4.0,PASS
16,"Every time I click shuffle it just plays the songs on the ""this is"" 😕 am I doing something wrong?",PLAYBACK_CRASH,PLAYBACK_CRASH,0.9787,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 97.9% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.4424,"new to this, created a play list, hit shuffle but just plays all Beatles tracks on there-nothing else?",5,5,5,5.0,PASS
17,Ahh yes shuffle works but not individual tracks,PLAYBACK_CRASH,PLAYBACK_CRASH,0.9775,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 97.7% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3434,"Hi guys/girls, why does my shuffle almost always works terribly? When I add new tracks to a playlist (3600+ songs), these songs almost always appear in my shuffle. Besides from that I hear some tracks weekly and others rarely.. Why isn't there a real shuffle? Thanks",5,4,5,4.67,PASS
18,Hi! I'm having issues with my spotify where it pauses randomly saying its being used elsewhere. Thanks ^^,PLAYBACK_CRASH,PLAYBACK_CRASH,0.6056,AUTO_HANDLE,ESCALATE,High customer distress or risk trigger detected in message.,"Could you provide a few more details about your device model, OS, and Spotify app version so our support team can take a closer look?",0.3207,when I get a Snapchat msg it randomly pauses my music,5,4,5,4.67,PASS
19,"Uninstalled, rebooted, reinstalled and now it appears stable. I can switch between artists (and have done many many times now) and its not crashed yet. So - sorted! Thanks.",PLAYBACK_CRASH,PLAYBACK_CRASH,0.56,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 56.0% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3724,no it has not crashed at all.,5,5,5,5.0,PASS
20,Hello & - when will we get the playlist folder shuffle back to iOS version?,PLAYBACK_CRASH,PLAYBACK_CRASH,0.9535,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 95.3% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.5412,"So, why not put a coding function in ""if user selects folder: put in a 'shuffle folder', shuffle all songs in folder""",5,5,5,5.0,PASS
21,"I just dumped the whole thing. I'd expect its your job to figure this out, isn't it. I'd expect some auto-updater left over garbage coupled with audio cache. But who knows",PLAYBACK_CRASH,PLAYBACK_CRASH,0.6419,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 64.2% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.2188,"I love that you have audio books but seriously, having to remember where you left off last time is such a painful experience...",5,4,5,4.67,PASS
22,"Hey and , could we consider implementing a stateful shuffle? Need Help? I'm looking for a new Software Dev role in NYC",PLAYBACK_CRASH,PLAYBACK_CRASH,0.8465,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 84.7% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.2624,please fix Shuffle. I have enough music for Shuffle to not be this picky,5,4,5,4.67,PASS
23,"clicking ""share"" on any song crashes with no error msg. Android 8.0.0, nexus 6p, Spotify 8.4.22.857. Have reinstalled once.",PLAYBACK_CRASH,PLAYBACK_CRASH,0.5865,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 58.6% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.4244,"Android version 8.4.22.857 crashes every time I select ""Share""",5,5,5,5.0,PASS
24,"No error, just when I press the shuffle play button to the Imagine Dragons album it does not want to play. The device is my iPhone 5SE",PLAYBACK_CRASH,PLAYBACK_CRASH,0.9815,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 98.1% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.5445,No message comes up except when I try to press shuffle play,5,5,5,5.0,PASS
25,Here is the Screenshot. I pressed shuffle. It happens in all his songs.,PLAYBACK_CRASH,PLAYBACK_CRASH,0.9915,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 99.1% confidence.,"We recommend trying a quick clean reinstall and clearing your app cache (Settings > Storage > Clear Cache). If the issue persists, let us know your device OS version.",0.3446,please fix Shuffle. I have enough music for Shuffle to not be this picky,5,4,5,4.67,PASS
26,don't think about premium subs dropping off re: lack of #AppleWatch offline playback #SoSad,OFFLINE_SYNC,OFFLINE_SYNC,0.9408,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 94.1% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.2458,"But I don’t think I’ve downloaded 10k songs?🤔 thanks for your help, I’ll take a look at the link.",5,4,5,4.67,PASS
27,"Not all the songs in my playlists are downloading for offline use on my mac. Reinstalled, no change. Any ideas?",OFFLINE_SYNC,OFFLINE_SYNC,0.9922,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 99.2% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.4089,iOS has bunch of completely unfamiliar songs/playlists in history. One kind of bothers me. No new offline devices. Any ideas?,5,5,5,5.0,PASS
28,"Galaxy note 5, Android, and idk the spotify version. It's the latest app, as I tried uninstalling and redownloading",OFFLINE_SYNC,UNCLEAR_FEEDBACK,0.4656,AUTO_HANDLE,ESCALATE,"Intent 'UNCLEAR_FEEDBACK' involves private authentication, payments, or requires user clarification.","Could you provide a few more details about your device model, OS, and Spotify app version so our support team can take a closer look?",0.4159,"Galaxy note 5-android, hp spectre x360-windows, and spotify versions are up to date on both",3,5,5,4.33,PASS
29,"hey,hoping you can help - I have several thousand songs offline but for some reason random artist albums become unsynced 🤷🏻‍♂️",OFFLINE_SYNC,CATALOG_CONTENT,0.6574,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 65.7% confidence.,"Music availability can vary over time due to licensing agreements with rights holders. If an album is greyed out, it may temporarily be unavailable in your region.",0.316,Artist: Albums: and Song:,1,4,5,3.33,FAIL
30,if you cancel your subscription can you still listen to your downloaded playlists?,OFFLINE_SYNC,OFFLINE_SYNC,0.786,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 78.6% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.58,"Sure, but will that un-download all my downloaded playlists?",5,5,5,5.0,PASS
31,"would love 2 see ""only use data on wifi"" setting so I don't hav 2 change to offline mode every time I leave the house/office.",OFFLINE_SYNC,OFFLINE_SYNC,0.9045,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 90.4% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.3442,"hey I was in offline mode on my android a I restarted the phone. Now I can't login, it says I'm in offline mode. What the heck?",5,4,5,4.67,PASS
32,my entire playlist un-downloads itself every few days on android app. I have to use data to listen. Any ideas?,OFFLINE_SYNC,OFFLINE_SYNC,0.7366,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 73.7% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.3601,why does the app use 12.95GB on my mob? I deleted most downloads which barely reduced this huge amount...,5,5,5,5.0,PASS
33,Well the only time I use offline music is when I'm not in wifi and the only time I'm not in wifi is in my car so I can't really test it out,OFFLINE_SYNC,OFFLINE_SYNC,0.913,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 91.3% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.3255,my offline music keeps deleting from my device every few weeks. It gets really annoying every time I have to re download again,5,4,5,4.67,PASS
34,can you plz help to fix it so next time I could hear it offline. Tq. (2),OFFLINE_SYNC,OFFLINE_SYNC,0.8338,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 83.4% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.3462,"The ones I downloaded, this is the second time this week and third time this month, kinda annoying ngl, plz help",5,4,5,4.67,PASS
35,"My music keeps undownloading, what is happening??? Please help",OFFLINE_SYNC,UNCLEAR_FEEDBACK,0.4601,AUTO_HANDLE,ESCALATE,"Intent 'UNCLEAR_FEEDBACK' involves private authentication, payments, or requires user clarification.","Could you provide a few more details about your device model, OS, and Spotify app version so our support team can take a closer look?",0.4983,my music keeps stopping for no reason when i go off the app!,3,5,5,4.33,PASS
36,can’t log into Spotify. I used Facebook credentials to set up my account. Just re downloaded the app on new phone and it won’t log in.,OFFLINE_SYNC,ACCOUNT_LOGIN,0.775,AUTO_HANDLE,ESCALATE,"Intent 'ACCOUNT_LOGIN' involves private authentication, payments, or requires user clarification.","To protect your account details, please check spotify.com/password-reset or reach out to us via direct message so we can verify your account securely.",0.3921,I can't log in to my old account with Facebook. My credentials are correct.,3,5,5,4.33,PASS
37,"I did so, and moved storage onto device so not an sd card problem. Problem still happening. Is this a glitch with the app?",OFFLINE_SYNC,OFFLINE_SYNC,0.9439,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 94.4% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.4983,I don't have another SD card,5,5,5,5.0,PASS
38,I deleted the app and downloaded it back #allgood! Thanks,OFFLINE_SYNC,OFFLINE_SYNC,0.9855,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 98.5% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.6519,Thanks for the response. I deleted the app and downloaded it again. Works fine now.,5,5,5,5.0,PASS
39,I had to re-download all my offline playlists upon switching iphones and noticed the downloads seems to work when you’re in the app and not in the background when the app is minimised.,OFFLINE_SYNC,OFFLINE_SYNC,0.9999,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 100.0% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.493,"Yeah, at least my offline playlists are always there.",5,5,5,5.0,PASS
40,I downloaded Spotify for Mac but it’s so slow. Are there updates or should I continue to use the web since it’s quicker?,OFFLINE_SYNC,OFFLINE_SYNC,0.8966,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 89.7% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.3523,No updates. I have downloaded it 6 times in a year. A lot of my fellow Mac users have the same issue.,5,5,5,5.0,PASS
41,"Hi none of the album art is loading for me, at all. I already tried rebooting, and redownloading the app. it's just the gray disk photo pls help",OFFLINE_SYNC,CATALOG_CONTENT,0.5574,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 55.7% confidence.,"Music availability can vary over time due to licensing agreements with rights holders. If an album is greyed out, it may temporarily be unavailable in your region.",0.4103,Hi folks! Is there any way to enlarge album art in the OSX app? Thumbnails are just a tease!,1,5,5,3.67,PASS
42,"No luck unfortunately, even tried downloading the playlist",OFFLINE_SYNC,OFFLINE_SYNC,0.6063,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 60.6% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.3602,"I tried to log off and on again, and I tried to uninstal Spotify and downloading it again, still didn't work",5,5,5,5.0,PASS
43,"No it didn't. Same error. Won't let me sign in as set to offline mode, but can't take it out of offline mode because won't let me sign in.",OFFLINE_SYNC,OFFLINE_SYNC,0.9608,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 96.1% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.4701,can't login now because I set the app to offline mode before the update... Hitting connect won't do anything 😱,5,5,5,5.0,PASS
44,"Or better said: How can I listen the songs offline, it doesn't work if I put the connection offline and they are in my library.",OFFLINE_SYNC,OFFLINE_SYNC,0.9943,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 99.4% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.377,keep being unable to access my songs offline ? Am a premium member,5,5,5,5.0,PASS
45,"Really getting fed up with this app that can’t maintain downloaded files, has been a problem for over a year for me",OFFLINE_SYNC,OFFLINE_SYNC,0.9895,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 98.9% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.3301,So is deleting all my downloaded files on a daily basis. Poor form. #spotifysucks,5,4,5,4.67,PASS
46,Downloaded for offline use.,OFFLINE_SYNC,OFFLINE_SYNC,1.0,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 100.0% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.8056,No. And now none if the playlist r playing even though they're downloaded for offline use,5,5,5,5.0,PASS
47,"Probably about 2/3 days! And no restarting it hasn’t helped really, i was thinking about deleting and downloading it again! would that help?",OFFLINE_SYNC,OFFLINE_SYNC,0.5786,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 57.9% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.2485,"your app fucking sucks. Always deletes all my downloaded music. Downloading 53 out of 1,428 songs. Really thinking about switching to Apple Music.",5,4,5,4.67,PASS
48,why does the app always undownload my music?,OFFLINE_SYNC,OFFLINE_SYNC,0.4062,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 40.6% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.7518,hi why does your app keep undownloading my music,5,5,5,5.0,PASS
49,Like I have been having to sort this with pretty much every streaming and download service on the Web now. You're my last port of call. Basically if the track is Drum & bass by Virtue - that's me. Not the girl group. Lol.,OFFLINE_SYNC,OFFLINE_SYNC,0.6953,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 69.5% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.2824,"Streaming. I tried to download and it did not work. Message on desktop says something like ""this track is not available at this time""",5,4,5,4.67,PASS
50,Hi if I upgrade to Spotify premium can I download tracks that then can be exported for use on other apps and devices or copied onto cds and other external storage?? Cheers,OFFLINE_SYNC,OFFLINE_SYNC,0.973,AUTO_HANDLE,AUTO_HANDLE,Routine client-side resolution available with 97.3% confidence.,Please make sure your device is connected to active Wi-Fi and toggle Offline Mode off and on in Settings > Playback. Verify you have sufficient storage space available on your device.,0.3094,hiii. does downloading songs with spotify premium take up storage?,5,4,5,4.67,PASS
51,"Hi , just found out that I was removed from the family plan, even though I gave you the same address like we all use. Could you please check what's wrong with my account? DM me please for any additional information regarding my account. Thanks!",SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.853,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.3692,"hi, I just want to double check that I put my address in correctly for the family plan. Is there some way to check that?",5,5,5,5.0,PASS
52,"No I would rather just use a username, if I make a new account is it easy to swap my subscription over ?",SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.7633,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.4645,how do I change to a student account? Do I need to make a new account?,5,5,5,5.0,PASS
53,my Spotify still says free subscription but I see that money came out of my account yesterday. What's going on??,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.8594,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.4377,I just purchased your 0.99 3 month deal and it says I have free subscription when it was already paid for... some help please,5,5,5,5.0,PASS
54,updating an expired card for a family plan. On the latest version of Chrome. OSX,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.8104,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.4336,how do I find out who owns family plan,5,5,5,5.0,PASS
55,Help me. How do I extend my student subscription? Sends me to a new sub link.,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.9911,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.4839,"I did. The ""extend"" link sends me to a new subscription link. Tells me about spotify + Hulu & asks for card info to subscribe",5,5,5,5.0,PASS
56,hi Spotify. I need my student status transferring. Please can you help? I have DM'd. Thanks - Chris,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.6032,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.3668,how can I remove my student status? Unable to update payment details because my student status isn't verified (not a student),5,5,5,5.0,PASS
57,"If I just upgraded to the $99 for the year deal but now want to switch to a famil account, will I get overcharged? How will that work?",SUBSCRIPTION_BILLING,UNCLEAR_FEEDBACK,0.3867,ESCALATE,ESCALATE,"Intent 'UNCLEAR_FEEDBACK' involves private authentication, payments, or requires user clarification.","Could you provide a few more details about your device model, OS, and Spotify app version so our support team can take a closer look?",0.4297,does the $99 for a year stack with the capital one quicksilver deal?,3,5,5,4.33,PASS
58,"I'm going to upgrade to family plan. I just renewed my monthly subscription, will I be billed in full again?",SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.9996,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.4182,"Hey , an important question...if I upgrade to the family plan today, will I be billed today or at the usual time of the month? Thanks!",5,5,5,5.0,PASS
59,Or does the subscription not begin until January?,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.9612,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.5877,"I should say, It doesn't take my money and begin my subscription. It accepts my Paypal.",5,5,5,5.0,PASS
60,i have paid for premium subscription but it’s still written that I’m still using a premium user.,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.9598,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.4739,Thanks now i'm back on premium subscription.,5,5,5,5.0,PASS
61,im having trouble setting up my student account,SUBSCRIPTION_BILLING,SUBSCRIPTION_BILLING,0.9405,ESCALATE,ESCALATE,"Intent 'SUBSCRIPTION_BILLING' involves private authentication, payments, or requires user clarification.",We'd like to look into this billing query directly. Please reach out to our team via private DM with your account email or visit spotify.com/account for direct support.,0.4847,Hulu is having trouble authorizing my student account. Any suggestions?,5,5,5,5.0,PASS
